"panel","algorithm","x","y","endpoint_x","endpoint_y","edge"
"attrition","pcalg_fci_plus","K_Class","Teacher_Experience","CIRCLE","ARROW","K_Class o-> Teacher_Experience"
"attrition","pcalg_fci_plus","Ethnicity","Free_Lunch","CIRCLE","ARROW","Ethnicity o-> Free_Lunch"
"attrition","pcalg_fci_plus","Ethnicity","School_Context","CIRCLE","ARROW","Ethnicity o-> School_Context"
"attrition","pcalg_fci_plus","Ethnicity","Teacher_Experience","CIRCLE","ARROW","Ethnicity o-> Teacher_Experience"
"attrition","pcalg_fci_plus","Free_Lunch","School_Context","CIRCLE","CIRCLE","Free_Lunch o-o School_Context"
"attrition","pcalg_fci_plus","Free_Lunch","Teacher_Experience","ARROW","ARROW","Free_Lunch <-> Teacher_Experience"
"attrition","pcalg_fci_plus","Free_Lunch","K_Achievement","ARROW","ARROW","Free_Lunch <-> K_Achievement"
"attrition","pcalg_fci_plus","Free_Lunch","Grade3_Observed","ARROW","ARROW","Free_Lunch <-> Grade3_Observed"
"attrition","pcalg_fci_plus","School_Context","Teacher_Experience","ARROW","ARROW","School_Context <-> Teacher_Experience"
"attrition","pcalg_fci_plus","School_Context","K_Achievement","ARROW","ARROW","School_Context <-> K_Achievement"
"attrition","pcalg_fci_plus","School_Context","Grade3_Observed","ARROW","ARROW","School_Context <-> Grade3_Observed"
"attrition","pcalg_fci_plus","Entry_Age","K_Achievement","CIRCLE","ARROW","Entry_Age o-> K_Achievement"
"attrition","pcalg_fci_plus","K_Achievement","Grade3_Observed","TAIL","ARROW","K_Achievement --> Grade3_Observed"
"longitudinal","pcalg_fci_plus","K_Class","Teacher_Experience","CIRCLE","ARROW","K_Class o-> Teacher_Experience"
"longitudinal","pcalg_fci_plus","Ethnicity","Free_Lunch","ARROW","ARROW","Ethnicity <-> Free_Lunch"
"longitudinal","pcalg_fci_plus","Ethnicity","School_Context","ARROW","TAIL","Ethnicity <-- School_Context"
"longitudinal","pcalg_fci_plus","Ethnicity","Teacher_Experience","ARROW","ARROW","Ethnicity <-> Teacher_Experience"
"longitudinal","pcalg_fci_plus","Ethnicity","Grade3_Achievement","TAIL","ARROW","Ethnicity --> Grade3_Achievement"
"longitudinal","pcalg_fci_plus","Free_Lunch","School_Context","ARROW","ARROW","Free_Lunch <-> School_Context"
"longitudinal","pcalg_fci_plus","Free_Lunch","Teacher_Experience","ARROW","ARROW","Free_Lunch <-> Teacher_Experience"
"longitudinal","pcalg_fci_plus","Free_Lunch","Grade3_Achievement","ARROW","ARROW","Free_Lunch <-> Grade3_Achievement"
"longitudinal","pcalg_fci_plus","School_Context","Teacher_Experience","ARROW","ARROW","School_Context <-> Teacher_Experience"
"longitudinal","pcalg_fci_plus","School_Context","K_Achievement","ARROW","ARROW","School_Context <-> K_Achievement"
"longitudinal","pcalg_fci_plus","Entry_Age","K_Achievement","CIRCLE","ARROW","Entry_Age o-> K_Achievement"
"longitudinal","pcalg_fci_plus","K_Achievement","Grade3_Achievement","ARROW","TAIL","K_Achievement <-- Grade3_Achievement"
"focused_treatment","pcalg_fci_plus","K_Class","Teacher_Experience","ARROW","ARROW","K_Class <-> Teacher_Experience"
"focused_treatment","pcalg_fci_plus","K_Class","Grade3_Achievement","ARROW","ARROW","K_Class <-> Grade3_Achievement"
"focused_treatment","pcalg_fci_plus","Ethnicity","Free_Lunch","CIRCLE","ARROW","Ethnicity o-> Free_Lunch"
"focused_treatment","pcalg_fci_plus","Ethnicity","School_Context","TAIL","ARROW","Ethnicity --> School_Context"
"focused_treatment","pcalg_fci_plus","Ethnicity","Teacher_Experience","CIRCLE","ARROW","Ethnicity o-> Teacher_Experience"
"focused_treatment","pcalg_fci_plus","Ethnicity","Grade3_Achievement","CIRCLE","ARROW","Ethnicity o-> Grade3_Achievement"
"focused_treatment","pcalg_fci_plus","Free_Lunch","School_Context","TAIL","ARROW","Free_Lunch --> School_Context"
"focused_treatment","pcalg_fci_plus","Free_Lunch","Teacher_Experience","ARROW","ARROW","Free_Lunch <-> Teacher_Experience"
"focused_treatment","pcalg_fci_plus","Free_Lunch","Grade3_Achievement","ARROW","ARROW","Free_Lunch <-> Grade3_Achievement"
"focused_treatment","pcalg_fci_plus","School_Context","Teacher_Experience","ARROW","ARROW","School_Context <-> Teacher_Experience"
