"panel","ordering","first_variable","exact_pag_match","skeleton_jaccard","edges","ci_tests","elapsed_seconds"
"attrition","cyclic_shift_0","K_Class",TRUE,1,13,1191,10.394
"attrition","cyclic_shift_1","Gender",TRUE,1,13,1158,10.09
"attrition","cyclic_shift_2","Ethnicity",TRUE,1,13,1182,10.172
"attrition","cyclic_shift_3","Free_Lunch",FALSE,1,13,1223,11.143
"attrition","cyclic_shift_4","School_Context",TRUE,1,13,1232,10.782
"attrition","cyclic_shift_5","Entry_Age",TRUE,1,13,1171,10.096
"attrition","cyclic_shift_6","Teacher_Experience",TRUE,1,13,1204,10.41
"attrition","cyclic_shift_7","K_Achievement",FALSE,1,13,1179,10.115
"attrition","cyclic_shift_8","Grade3_Observed",TRUE,1,13,1188,10.223
"longitudinal","cyclic_shift_0","K_Class",TRUE,1,12,475,1.69800000000001
"longitudinal","cyclic_shift_1","Gender",TRUE,1,12,475,1.685
"longitudinal","cyclic_shift_2","Ethnicity",TRUE,1,12,475,1.632
"longitudinal","cyclic_shift_3","Free_Lunch",FALSE,1,12,475,1.69600000000001
"longitudinal","cyclic_shift_4","School_Context",FALSE,1,12,468,1.61399999999999
"longitudinal","cyclic_shift_5","Entry_Age",FALSE,1,12,463,1.629
"longitudinal","cyclic_shift_6","Teacher_Experience",TRUE,1,12,476,1.636
"longitudinal","cyclic_shift_7","K_Achievement",TRUE,1,12,459,1.66299999999998
"longitudinal","cyclic_shift_8","Grade3_Achievement",TRUE,1,12,470,1.661
"focused_treatment","cyclic_shift_0","K_Class",TRUE,1,10,256,0.884000000000015
"focused_treatment","cyclic_shift_1","Gender",TRUE,1,10,253,0.86099999999999
"focused_treatment","cyclic_shift_2","Ethnicity",TRUE,1,10,253,0.850999999999999
"focused_treatment","cyclic_shift_3","Free_Lunch",FALSE,1,10,258,0.887
"focused_treatment","cyclic_shift_4","School_Context",FALSE,1,10,256,0.913999999999987
"focused_treatment","cyclic_shift_5","Entry_Age",TRUE,1,10,261,0.895999999999987
"focused_treatment","cyclic_shift_6","Teacher_Experience",TRUE,1,10,261,0.881
"focused_treatment","cyclic_shift_7","Grade3_Achievement",TRUE,1,10,260,0.878999999999991
