panel,algorithm,ordering,first_node,exact_pag_match,skeleton_jaccard,edges,ci_tests,elapsed_seconds,target_edge,temporal_flags
attrition,fci,cyclic_shift_0,K_Class,True,1.0,14,1705,5.652932250000049,K_Achievement <-- Grade3_Observed,Grade3_Observed --> K_Achievement
attrition,fci,cyclic_shift_1,Gender,False,0.9333333333333333,15,1733,5.838277542000469,K_Achievement <-- Grade3_Observed,Grade3_Observed --> K_Achievement
attrition,fci,cyclic_shift_2,Ethnicity,False,0.7857142857142857,11,2433,9.615628624999772,K_Achievement --> Grade3_Observed,
attrition,fci,cyclic_shift_3,Free_Lunch,False,0.7857142857142857,11,2531,9.9557988330007,K_Achievement --> Grade3_Observed,
attrition,fci,cyclic_shift_4,School_Context,False,0.7857142857142857,11,2520,9.992535083000803,K_Achievement --> Grade3_Observed,K_Achievement --> Free_Lunch
attrition,fci,cyclic_shift_5,Entry_Age,False,0.7857142857142857,11,2406,9.466222125000058,K_Achievement --> Grade3_Observed,K_Achievement --> Free_Lunch
attrition,fci,cyclic_shift_6,Teacher_Experience,False,0.7857142857142857,11,2442,9.65960562500004,K_Achievement --> Grade3_Observed,
attrition,fci,cyclic_shift_7,K_Achievement,False,1.0,14,1751,5.846952999999303,K_Achievement <-> Grade3_Observed,K_Achievement --> Free_Lunch
attrition,fci,cyclic_shift_8,Grade3_Observed,True,1.0,14,1757,5.872757791999902,K_Achievement <-- Grade3_Observed,Grade3_Observed --> K_Achievement
attrition,fci_plus,cyclic_shift_0,K_Class,True,1.0,17,793,1.8198756250003498,K_Achievement <-o Grade3_Observed,
attrition,fci_plus,cyclic_shift_1,Gender,True,1.0,17,791,1.8152386250003474,K_Achievement <-o Grade3_Observed,
attrition,fci_plus,cyclic_shift_2,Ethnicity,True,1.0,17,801,1.8282497500003956,K_Achievement <-o Grade3_Observed,
attrition,fci_plus,cyclic_shift_3,Free_Lunch,True,1.0,17,807,1.8306807919998391,K_Achievement <-o Grade3_Observed,
attrition,fci_plus,cyclic_shift_4,School_Context,True,1.0,17,797,1.8017440000003262,K_Achievement <-o Grade3_Observed,
attrition,fci_plus,cyclic_shift_5,Entry_Age,True,1.0,17,793,1.8007214170002044,K_Achievement <-o Grade3_Observed,
attrition,fci_plus,cyclic_shift_6,Teacher_Experience,True,1.0,17,801,1.8329461670000455,K_Achievement <-o Grade3_Observed,
attrition,fci_plus,cyclic_shift_7,K_Achievement,True,1.0,17,796,1.8380209999995714,K_Achievement <-o Grade3_Observed,
attrition,fci_plus,cyclic_shift_8,Grade3_Observed,True,1.0,17,801,1.8425707090000287,K_Achievement <-o Grade3_Observed,
attrition,fci_plus_robust,cyclic_shift_0,K_Class,True,1.0,17,1304,2.6128849590004393,K_Achievement o-o Grade3_Observed,
attrition,fci_plus_robust,cyclic_shift_1,Gender,True,1.0,17,1304,2.6382512499994846,K_Achievement o-o Grade3_Observed,
attrition,fci_plus_robust,cyclic_shift_2,Ethnicity,True,1.0,17,1304,2.6147703749993525,K_Achievement o-o Grade3_Observed,
attrition,fci_plus_robust,cyclic_shift_3,Free_Lunch,True,1.0,17,1304,2.608403166000244,K_Achievement o-o Grade3_Observed,
attrition,fci_plus_robust,cyclic_shift_4,School_Context,True,1.0,17,1304,2.585768833999282,K_Achievement o-o Grade3_Observed,
attrition,fci_plus_robust,cyclic_shift_5,Entry_Age,True,1.0,17,1304,2.578807500000039,K_Achievement o-o Grade3_Observed,
attrition,fci_plus_robust,cyclic_shift_6,Teacher_Experience,True,1.0,17,1304,2.612936458999684,K_Achievement o-o Grade3_Observed,
attrition,fci_plus_robust,cyclic_shift_7,K_Achievement,True,1.0,17,1304,2.6140799170007085,K_Achievement o-o Grade3_Observed,
attrition,fci_plus_robust,cyclic_shift_8,Grade3_Observed,True,1.0,17,1304,2.632963582999764,K_Achievement o-o Grade3_Observed,
longitudinal,fci,cyclic_shift_0,K_Class,True,1.0,10,960,2.135252125000079,K_Achievement <-o Grade3_Achievement,
longitudinal,fci,cyclic_shift_1,Gender,True,1.0,10,962,2.1164347919993816,K_Achievement <-o Grade3_Achievement,
longitudinal,fci,cyclic_shift_2,Ethnicity,True,1.0,10,967,2.1205951250003636,K_Achievement <-o Grade3_Achievement,
longitudinal,fci,cyclic_shift_3,Free_Lunch,True,1.0,10,966,2.107152292000137,K_Achievement <-o Grade3_Achievement,
longitudinal,fci,cyclic_shift_4,School_Context,True,1.0,10,917,2.028894291999677,K_Achievement <-o Grade3_Achievement,
longitudinal,fci,cyclic_shift_5,Entry_Age,False,1.0,10,919,2.048319042000003,K_Achievement <-o Grade3_Achievement,
longitudinal,fci,cyclic_shift_6,Teacher_Experience,True,1.0,10,911,2.0405506669994793,K_Achievement <-o Grade3_Achievement,
longitudinal,fci,cyclic_shift_7,K_Achievement,True,1.0,10,947,2.103926957999647,K_Achievement <-o Grade3_Achievement,
longitudinal,fci,cyclic_shift_8,Grade3_Achievement,True,1.0,10,972,2.134909666000567,K_Achievement <-o Grade3_Achievement,
longitudinal,fci_plus,cyclic_shift_0,K_Class,True,1.0,13,335,0.3275957500000004,K_Achievement <-- Grade3_Achievement,Grade3_Achievement --> K_Achievement
longitudinal,fci_plus,cyclic_shift_1,Gender,True,1.0,13,342,0.33483287499984726,K_Achievement <-- Grade3_Achievement,Grade3_Achievement --> K_Achievement
longitudinal,fci_plus,cyclic_shift_2,Ethnicity,True,1.0,13,347,0.3378782499994486,K_Achievement <-- Grade3_Achievement,Grade3_Achievement --> K_Achievement
longitudinal,fci_plus,cyclic_shift_3,Free_Lunch,False,1.0,13,356,0.3504152920004344,K_Achievement <-o Grade3_Achievement,
longitudinal,fci_plus,cyclic_shift_4,School_Context,False,0.9230769230769231,12,322,0.29683270800069295,K_Achievement <-o Grade3_Achievement,
longitudinal,fci_plus,cyclic_shift_5,Entry_Age,False,0.9230769230769231,12,306,0.27902412500043283,K_Achievement <-o Grade3_Achievement,
longitudinal,fci_plus,cyclic_shift_6,Teacher_Experience,False,0.9230769230769231,12,303,0.278519917000267,K_Achievement <-- Grade3_Achievement,Grade3_Achievement --> K_Achievement
longitudinal,fci_plus,cyclic_shift_7,K_Achievement,True,1.0,13,324,0.31728595799995674,K_Achievement <-- Grade3_Achievement,Grade3_Achievement --> K_Achievement
longitudinal,fci_plus,cyclic_shift_8,Grade3_Achievement,True,1.0,13,339,0.3349212909997732,K_Achievement <-- Grade3_Achievement,Grade3_Achievement --> K_Achievement
longitudinal,fci_plus_robust,cyclic_shift_0,K_Class,True,1.0,12,619,0.5492700419999892,K_Achievement o-o Grade3_Achievement,
longitudinal,fci_plus_robust,cyclic_shift_1,Gender,True,1.0,12,619,0.5430797910003093,K_Achievement o-o Grade3_Achievement,
